,32
id,1069
title,"NES Guerrilla War ""2 players"" by X2poet in 13:01.06"
branch,2 players
goal,2 players
gameGoalId,4871
emulatorVersion,FCEU 0.98.16
class,Standard
systemCode,NES
submissionId,1836
gameId,110
gameVersionId,62
obsoletedById,
frames,46941
rerecordCount,16483
systemFrameRate,60.0988138974405
movieFileName,x2poet-guerrillawar.fcm
additionalAuthors,
createTimestamp,2008-02-21T23:53:32
authors,['X2poet']
tags,"['2p', 'death', 'noeasy']"
flags,['SensitivityWarning']
urls,"['https://archive.org/download/guerrillawar-tas-2players-x2poet/guerrillawar-tas-2players-x2poet.mp4', 'https://www.youtube.com/watch?v=WyeZ-BYgErw']"
filePaths,['guerrillawar_tas_x2poet.png']
SHA1,77411a2f3a70fd415b2753710e0580dd2d9602f8
