,296
id,3290
title,NES Hudson Hawk by Alyosha in 07:03.89
branch,baseline
goal,baseline
gameGoalId,2637
emulatorVersion,BizHawk 1.13.2
class,Standard
systemCode,NES
submissionId,5318
gameId,1828
gameVersionId,1445
obsoletedById,
frames,25475
rerecordCount,5328
systemFrameRate,60.0988138974405
movieFileName,alyosha-hudsonhawk-nes.bk2
additionalAuthors,
createTimestamp,2016-12-24T16:36:17
authors,['Alyosha']
tags,"['death', 'damage']"
flags,[]
urls,"['https://www.youtube.com/watch?v=xhNwNyQH_-c', 'https://archive.org/download/hudsonhawk-nes-tas-alyosha/hudsonhawk-nes-tas-alyosha.mkv', 'https://archive.org/download/hudsonhawk-nes-tas-alyosha/hudsonhawk-nes-tas-alyosha_512kb.mp4']"
filePaths,['3290M.png']
SHA1,456DAA7A983D1E215D9E516DB7CE5703CDF2D2F4
