,14
id,871
title,"NES Mega Man 3, 4, 5 & 6 by Baxter & AngerFist in 39:06.92"
branch,baseline
goal,baseline
gameGoalId,656
emulatorVersion,FCEU 0.98.16
class,Alternative
systemCode,NES
submissionId,1566
gameId,375
gameVersionId,2223
obsoletedById,
frames,140815
rerecordCount,129820
systemFrameRate,60.0
movieFileName,baxter_and_angerfist-mm3456.fcm
additionalAuthors,
createTimestamp,2007-05-23T21:02:53
authors,"['Baxter', 'AngerFist']"
tags,"['demo', 'bigame', 'resources']"
flags,[]
urls,"['https://archive.org/download/megaman3456-quadtas-baxterangerfist/megaman3456-quadtas-baxterangerfist.mkv', 'https://archive.org/download/megaman3456-quadtas-baxterangerfist/megaman3456-quadtas-baxterangerfist_512kb.mp4', 'https://www.youtube.com/watch?v=LoThCyif9Oc']"
filePaths,['quadrun-ss2-var.png']
SHA1,53197445e137e47a73fd4876b87e288ed0fed5c6
