,356
id,3748
title,NES The Addams Family: Pugsley's Scavenger Hunt by link_7777 in 08:37.60
branch,baseline
goal,baseline
gameGoalId,3040
emulatorVersion,BizHawk 2.2.2
class,Standard
systemCode,NES
submissionId,6014
gameId,2055
gameVersionId,1784
obsoletedById,
frames,31107
rerecordCount,26488
systemFrameRate,60.0988138974405
movieFileName,link_7777-addamsfamilypugsleysscavengerhunt-nes.bk2
additionalAuthors,
createTimestamp,2018-07-22T17:21:06
authors,['link_7777']
tags,[]
flags,[]
urls,"['https://www.youtube.com/watch?v=pZLoE71MWiY', 'https://archive.org/download/addamsfamilypugsleysscavengerhunt-nes-tas-link_7777/addamsfamilypugsleysscavengerhunt-nes-tas-link_7777.mkv', 'https://archive.org/download/addamsfamilypugsleysscavengerhunt-nes-tas-link_7777/addamsfamilypugsleysscavengerhunt-nes-tas-link_7777_512kb.mp4']"
filePaths,['3748M.png']
SHA1,4FC0D34E3914199B1CFE849A1BBF24E975D062E5
