,103
id,1845
title,"NES The Bugs Bunny Crazy Castle ""Special Levels"" by Brandon in 04:15.38"
branch,Special Levels
goal,Special Levels
gameGoalId,1445
emulatorVersion,FCEUX 2.1.5
class,Standard
systemCode,NES
submissionId,3226
gameId,781
gameVersionId,1877
obsoletedById,
frames,15348
rerecordCount,1766
systemFrameRate,60.0988138974405
movieFileName,brandonevans-thebugsbunnycrazycastle-speciallevels.fm2
additionalAuthors,
createTimestamp,2011-07-21T20:28:06
authors,['Brandon']
tags,"['random', 'password']"
flags,"['Verified', 'Commentary']"
urls,"['https://www.archive.org/download/NesBugsBunnyCrazyCastleTheusaspecialLevelsIn0415.38ByBrandon/thebugsbunnycrazycastle-tas-speciallevels-brandonevans.mp4', 'https://www.archive.org/download/NesBugsBunnyCrazyCastleTheusaspecialLevelsIn0415.38ByBrandon/thebugsbunnycrazycastle-tas-speciallevels-brandonevans_10bit444.mp4', 'https://www.youtube.com/watch?v=0NXr6j6OqgE', 'https://www.youtube.com/watch?v=w4kpTlgB5Y0']"
filePaths,['1845M.png']
SHA1,3769f52f919019098c4dd3ce81e029a015e720dd
